,0,0,0,0,0,0,0,0,0
0,イクイノックス,牡,2019,木村哲也,キタサンブラック,シャトーブランシュ,キングヘイロー,シルクレーシング,ノーザンファーム
1,タイトルホルダー,牡,2018,栗田徹,ドゥラメンテ,メーヴェ,Motivator,山田弘,岡田スタッド
2,エフフォーリア,牡,2018,鹿戸雄一,エピファネイア,ケイティーズハート,ハーツクライ,キャロットファーム,ノーザンファーム
3,デアリングタクト,牝,2017,杉山晴紀,エピファネイア,デアリングバード,キングカメハメハ,ノルマンディーサラブレッドレーシング,長谷川牧場
4,ノンコノユメ,セ,2012,荒山勝徳,トワイニング,ノンコ,アグネスタキオン,山田広太郎,社台ファーム
5,ソダシ,牝,2018,須貝尚介,クロフネ,ブチコ,キングカメハメハ,金子真人ホールディングス,ノーザンファーム
6,ヴェラアズール,牡,2017,渡辺薫彦,エイシンフラッシュ,ヴェラブランカ,クロフネ,キャロットファーム,社台コーポレーション...
7,シャフリヤール,牡,2018,藤原英昭,ディープインパクト,ドバイマジェスティ,Essence of Dubai,サンデーレーシング,ノーザンファーム
8,ディープボンド,牡,2017,大久保龍,キズナ,ゼフィランサス,キングヘイロー,前田晋二,村田牧場
9,テーオーケインズ,牡,2017,高柳大輔,シニスターミニスター,マキシムカフェ,マンハッタンカフェ,小笹公也,ヤナガワ牧場
10,レシステンシア,牝,2017,松下武士,ダイワメジャー,マラコスタムブラダ,Lizard Island,キャロットファーム,ノーザンファーム
11,アマゾンオペラ,牡,1991,林正夫,グランドオペラ,クインモバリ,モバリッズ,黒岩晴男,中地茂美
12,ジェラルディーナ,牝,2018,斉藤崇史,モーリス,ジェンティルドンナ,ディープインパクト,サンデーレーシング,ノーザンファーム
13,セリフォス,牡,2019,中内田充,ダイワメジャー,シーフロント,Le Havre,Ｇ１レーシング,追分ファーム
14,スターズオンアース,牝,2019,高柳瑞樹,ドゥラメンテ,サザンスターズ,Smart Strike,社台レースホース,社台ファーム
15,シュネルマイスター,牡,2018,手塚貴久,Kingman,セリエンホルデ,Soldier Hollow,サンデーレーシング,Northern Farm
16,フジノウェーブ,牡,2002,高橋三郎,ブラックタイアフェアー,インキュラブルロマンティック,Stop the Music,大志総合企画（株）,笹島政信
